Hewlett-Packard-stock	value-weighted-index	equal-weighted-index	S&P500-index
  -2.548  -2.045  -1.209  -2.216
  -1.298  -0.783  -0.609  -0.728
   2.580  -0.260   0.106  -0.210
   6.174   0.505   0.631   0.520
  -6.814  -2.332  -1.458  -2.344
   0.639  -0.481  -0.862  -0.412
  -0.960  -1.286  -0.715  -1.229
   0.641   0.515   0.062   0.573
   0.318   0.648   0.569   0.682
   2.516   0.593   0.033   0.762
   0.000  -0.922  -0.273  -1.072
  -3.476  -0.618  -0.182  -0.606
   1.278   0.278   0.237   0.415
   0.316  -0.376   0.003  -0.321
  -0.635  -0.315  -0.868   0.026
  -0.639  -0.203  -0.106  -0.191
   3.155   0.432   0.049   0.476
   8.052   2.601   1.569   2.711
   2.546   1.171   1.053   1.237
  -3.699  -1.840  -0.911  -2.200
   2.576   0.322   0.204   0.195
  -1.997  -0.901  -0.089  -1.305
  -0.869  -0.123  -0.168  -0.052
   0.868   0.788   0.670   0.719
  -5.326  -2.185  -1.628  -2.269
  -1.532  -0.876  -1.103  -0.832
   1.835   0.660   0.210   0.858
  -0.303  -0.104  -0.192  -0.201
  -0.916  -0.024   0.137  -0.044
   2.124  -0.405  -0.810  -0.280
   0.000  -0.142  -0.019  -0.325
   2.667   0.109  -0.124   0.114
   0.873  -0.424  -0.332  -0.528
  -2.644  -1.233  -0.689  -1.450
  -0.897  -0.167  -0.892  -0.072
   3.541   1.460   0.485   1.743
   0.866  -0.018   0.500  -0.229
  -2.326  -0.143  -0.102  -0.088
   1.750   0.308   0.185   0.177
   0.000  -0.393  -0.028  -0.558
  -4.130  -1.519  -1.326  -1.574
  -3.369  -1.030  -1.285  -0.942
  -3.810  -0.662  -1.175  -0.492
  -6.002  -1.661  -1.470  -1.846
   5.678   0.777  -0.556   1.378
  -2.299   0.588   0.485   0.532
  -2.353  -0.107  -0.036  -0.046
   2.685  -0.808  -0.611  -0.688
   3.897   0.533  -0.073   0.770
  -1.605  -0.036   0.315  -0.155
  -0.649  -0.113   0.106  -0.183
   3.985   1.189   1.061   1.112
   0.936   0.330   0.774   0.281
   4.256   1.942   1.357   1.934
  -0.597   0.622   0.680   0.690
  -1.205  -0.419   0.126  -0.512
  -2.144   0.330   0.527   0.212
  -1.246  -0.872  -0.154  -1.128
  -0.313   0.163   0.101   0.321
   1.250   0.053   0.041  -0.027
   0.311  -0.171   0.147  -0.276
  -0.310   1.410   0.875   1.622
   4.256   1.093   0.699   1.162
  -0.597  -0.276  -0.002  -0.340
   2.074   0.534   0.232   0.547
   1.166   0.201   0.384   0.087
  -0.582   0.663   0.505   0.656
   0.000  -0.137  -0.130  -0.189
  -0.585   0.028   0.124  -0.009
   1.455  -0.113  -0.031  -0.138
   1.435   0.388   0.358   0.448
   1.974   0.489   0.486   0.394
   0.279  -0.063   0.051  -0.094
  -1.685  -0.910  -0.231  -1.086
  -0.854   0.227   0.235   0.243
  -0.573   1.085   0.669   1.262
   0.858   1.121   0.722   1.229
   2.809   0.489   0.434   0.522
  -0.834  -0.887  -0.286  -1.063
  -0.842  -0.536  -0.069  -0.629
  -0.849  -0.837  -0.273  -0.969
   0.566   0.190   0.316   0.267
   0.563   0.319  -0.011   0.317
  -0.847   0.647   0.417   0.554
  -1.426   0.143   0.066   0.179
   1.142   0.866   0.659   0.854
  -1.720   0.772   0.623   0.664
  -1.456  -0.680  -0.333  -0.916
   2.032   0.876   0.452   0.875
  -0.577  -0.277   0.014  -0.209
   0.576  -0.550   0.007  -0.800
   0.000  -0.069   0.161  -0.178
  -0.866  -1.023  -0.677  -1.108
   1.724  -0.774  -0.597  -0.748
  -0.285  -0.722  -0.515  -0.823
  -0.286  -0.385  -0.619  -0.261
   2.546   0.221  -0.044   0.262
   1.111  -0.025  -0.298  -0.087
  -1.671  -0.251  -0.116  -0.341
  -2.273  -1.210  -1.042  -1.134
   0.000  -0.403  -0.387  -0.399
   0.573  -0.298   0.082  -0.694
   0.853  -0.380  -0.608  -0.179
  -1.426   0.298   0.057   0.321
  -1.447  -0.211  -0.204  -0.161
  -2.659  -1.500  -0.958  -1.595
  -1.812  -0.115  -0.553   0.027
  -1.228  -0.426  -0.413  -0.446
  -0.309  -0.662  -0.913  -0.586
   0.310   0.433   0.052   0.567
   0.615   1.579   1.101   1.476
  -1.546  -1.116  -0.679  -1.158
  -0.312  -0.331  -0.583  -0.246
   0.000  -0.563  -0.113  -0.751
  -0.476  -1.036  -0.842  -1.174
   0.314  -0.495  -0.467  -0.297
   2.782  -0.021  -0.148  -0.075
   3.003   0.877   0.317   1.021
   2.050   1.593   1.028   1.685
  -0.582  -0.192   0.249  -0.281
  -0.879  -0.579  -0.247  -0.630
   2.038   0.782   0.212   1.021
  -2.332  -0.025  -0.264  -0.045
   0.295  -0.335   0.288  -0.545
   0.586  -0.755  -0.410  -0.824
  -4.180  -0.716  -0.264  -0.980
  -0.612  -0.344  -0.408  -0.335
   1.220  -0.156  -0.245  -0.065
   1.504   0.071  -0.355   0.289
   2.941   1.157   0.861   1.202
   3.138   0.660   0.501   0.678
  -1.130  -0.078  -0.034  -0.110
   3.077   0.639  -0.167   0.901
   1.910   0.077   0.144   0.027
   0.270   0.494   0.267   0.542
  -0.270  -0.170  -0.032  -0.306
   0.540   0.582   0.252   0.729
   0.000   0.037   0.310  -0.108
  -1.353   0.103   0.236   0.045
  -1.096  -0.185   0.210  -0.269
  -0.829  -0.651  -0.376  -0.732
  -3.390  -0.757  -0.299  -0.847
  -1.739  -1.522  -1.167  -1.566
  -1.177  -0.131  -0.497  -0.009
  -1.490  -0.421  -0.038  -0.587
   2.959   1.577   0.494   1.750
  -0.585  -0.778  -0.242  -1.061
  -3.279  -1.409  -0.881  -1.579
   0.604  -0.731  -0.772  -0.927
  -2.440  -1.169  -0.670  -1.389
   0.000  -0.743  -1.479  -0.609
  -2.500  -0.157  -0.206  -0.233
  -3.216  -0.294  -0.570  -0.233
   1.621  -0.286  -0.327  -0.175
   1.278   1.096   0.109   1.386
  -0.957   0.387   0.514   0.231
   8.300   4.024   1.550   4.646
  -1.786   0.205   1.294  -0.469
   1.786   0.236   0.083   0.578
   5.454   3.076   1.462   3.475
   4.906   2.556   1.413   2.697
   0.266  -0.178   0.674  -0.665
   1.840   2.012   1.675   1.923
   2.062   1.072   1.644   0.822
   0.255  -1.022  -0.055  -1.222
   3.500   0.387   0.021   0.469
   6.423   1.456   0.783   1.560
  -3.517  -0.826  -0.352  -1.060
   0.476   1.550   0.994   1.702
   1.415   1.821   1.108   1.975
  -2.131  -0.959  -0.324  -1.074
   0.952   0.663   0.437   0.682
  -0.475   0.011   0.400  -0.188
  -0.477  -0.741  -0.170  -0.823
   3.294   0.849   0.189   1.045
   0.231   0.848   0.607   0.702
   0.461   0.823   0.515   0.962
  -0.812  -0.145   0.252  -0.419
  -3.783  -0.867  -0.134  -0.991
   2.146  -0.086  -0.335  -0.033
   3.705   1.697   0.898   1.917
  -0.684  -0.462   0.222  -0.716
  -1.151  -0.190  -0.154  -0.145
  -0.930  -0.269   0.247  -0.397
   1.852   0.171  -0.060   0.243
  -2.321  -0.186  -0.002  -0.307
  -1.181  -1.190  -0.720  -1.315
  -0.238  -0.841  -0.353  -1.000
  -0.477   1.108   0.553   1.279
   0.000  -0.273  -0.339  -0.378
   0.715   0.440   0.294   0.386
   5.094   2.863   1.342   3.219
   7.185   2.109   1.379   2.222
   4.116   1.763   1.092   1.732
   3.175   2.288   1.510   2.577
  -2.974   0.042   0.128  -0.022
   1.001   1.834   2.066   1.674
  -4.899  -1.283   0.457  -1.577
   0.209  -0.570   0.292  -0.746
   1.862   2.023   1.140   2.338
  -0.823  -0.020   0.199  -0.110
   8.131   1.848   1.251   1.921
  -1.150   0.005   0.522  -0.122
  -0.580   0.062   1.000  -0.137
  -5.579  -3.648  -1.800  -4.079
   3.226   0.524  -0.506   0.866
   0.791   0.858   1.142   0.593
  -2.390  -0.993   0.083  -1.257
   0.000   0.218   0.412   0.090
   3.175   1.217   0.736   1.307
   1.358   1.554   1.283   1.480
   6.345   3.520   2.111   3.838
  -1.274  -0.321   0.668  -0.717
   1.454   0.464   0.829   0.219
   0.360  -0.933   0.122  -1.217
   1.783   1.695   1.463   1.820
  -3.781  -1.028   0.118  -1.310
   2.715   0.455   0.570   0.424
   0.179  -1.032   0.583  -1.586
  -1.256  -1.714  -1.129  -1.808
  -2.931  -1.328  -1.512  -1.182
   2.750   1.658   1.055   1.836
   0.720   0.466   0.708   0.297
  -0.360  -0.653   0.208  -0.959
  -2.555  -1.905  -0.969  -2.064
  -0.185  -0.767  -0.503  -0.966
   0.185   0.715   0.515   0.712
   1.650   0.715   0.651   0.744
  -1.835  -0.463  -0.158  -0.505
